Sunpetal Grove (XLN),Price - In,# Bought,# Left,Total,Current,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,,,,,,,
Anointed Procession,0.1,2,0,0.20,0.00,1.84,2,3.68,3.48,1740%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.09,20,0,1.80,0.00,0.83,4,3.32,2.96,822%,0.56,4,2.24,1.88,522%,0.71,4,2.84,2.48,689%,0.68,4,2.72,2.36,656%,0.81,4,3.24,2.88,800%,,,,,,,
Anointed Procession,0.09,4,0,0.36,0.00,1.84,2,3.68,3.5,1944%,1.83,2,3.66,3.48,1933%,,,,,,,,,,,,,,,,,,,,,,
Anointed Procession,0.08,12,0,0.96,0.00,0.391,3,1.173,0.933,389%,0.36,4,1.44,1.12,350%,0.35,1,0.35,0.27,338%,0.936,3,2.808,2.568,1070%,1.83,1,1.83,1.75,2188%,,,,,,,
Anointer Priest,0.002,100,92,0.20,0.18,0.0255,8,0.204,0.188,1175%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.36,8,0,2.88,0.00,0.408,8,3.264,0.384,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.35,4,0,1.40,0.00,0.37,4,1.48,0.08,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.34,4,0,1.36,0.00,0.343,4,1.372,0.012,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.31,4,0,1.24,0.00,0.33,4,1.32,0.08,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.28,8,0,2.24,0.00,0.303,4,1.212,0.092,8%,0.4,4,1.6,0.48,43%,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.26,8,0,2.08,0.00,0.31,8,2.48,0.4,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.25,28,0,7.00,0.00,0.39,8,3.12,1.12,56%,0.38,4,1.52,0.52,52%,0.32,4,1.28,0.28,28%,0.25,8,2,0,0%,0.306,4,1.224,0.224,22%,,,,,,,
Approach of the Second Sun,0.24,8,0,1.92,0.00,0.38,4,1.52,0.56,58%,0.37,4,1.48,0.52,54%,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.23,20,0,4.60,0.00,0.31,8,2.48,0.64,35%,0.306,4,1.224,0.304,33%,0.24,8,1.92,0.08,4%,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.21,8,0,1.68,0.00,0.2465,6,1.479,0.219,17%,0.255,2,0.51,0.09,21%,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.2,8,0,1.60,0.00,0.255,4,1.02,0.22,28%,0.2975,4,1.19,0.39,49%,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.19,6,0,1.14,0.00,0.28,6,1.68,0.54,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.17,4,0,0.68,0.00,0.187,4,0.748,0.068,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.16,28,8,4.48,1.28,0.16,4,0.64,0,0%,0.187,4,0.748,0.108,17%,0.28,10,2.8,1.2,75%,0.27,2,0.54,0.22,69%,,,,,,,,,,,,
Approach of the Second Sun,0.15,48,24,7.20,3.60,0.55,8,4.4,3.2,267%,0.15,8,1.2,0,0%,0.153,8,1.224,0.024,2%,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.13,8,8,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.12,44,36,5.28,4.32,0.12,8,0.96,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.11,40,32,4.40,3.52,0.12,8,0.96,0.08,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.1,28,28,2.80,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.09,56,56,5.04,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.08,12,0,0.96,0.00,0.12,4,0.48,0.16,50%,0.13,8,1.04,0.4,63%,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.07,16,16,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.06,8,0,0.48,0.00,0.12,8,0.96,0.48,100%,,,,,,,,,,,,,,,,,,,,,,82.199,,,,,
Approach of the Second Sun,0.03,24,0,0.72,0.00,0.11,8,0.88,0.64,267%,0.1,8,0.8,0.56,233%,0.09,8,0.72,0.48,200%,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.02,32,0,0.64,0.00,0.02,24,0.48,0,0%,0.1,8,0.8,0.64,400%,,,,,,,,,,,,,,,,,,,,,,
Approach of the Second Sun,0.01,124,0,1.24,0.00,0.14,8,1.12,1.04,1300%,0.13,16,2.08,1.92,1200%,0.11,28,3.08,2.8,1000%,0.1,32,3.2,2.88,900%,0.08,40,3.2,2.8,700%,,,,,,,
Approach of the Second Sun,0.01,52,0,0.52,0.00,0.12,16,1.92,1.76,1100%,0.136,8,1.088,1.008,1260%,0.2805,16,4.488,4.328,2705%,0.29,8,2.32,2.24,2800%,0.3,4,1.2,1.16,2900%,,,,,,,
Approach of the Second Sun,0.01,29,0,0.29,0.00,0.3,4,1.2,1.16,2900%,0.2975,4,1.19,1.15,2875%,0.3995,8,3.196,3.116,3895%,0.43,8,3.44,3.36,4200%,0.476,5,2.38,2.33,4660%,,,,,,,
Approach of the Second Sun,0.01,36,0,0.36,0.00,0.51,12,6.12,6,5000%,0.62,4,2.48,2.44,6100%,0.7,8,5.6,5.52,6900%,0.7735,8,6.188,6.108,7635%,0.75,4,3,2.96,7400%,,,,,,,
Approach of the Second Sun,0.01,31,19,0.31,0.19,0.918,8,7.344,7.264,9080%,0.85,4,3.4,3.36,8400%,,,,,,,,,,,,,,,,,,,,,,
Archfiend of Ifnir,0.06,16,0,0.96,0.00,0.06,2,0.12,0,0%,0.07,14,0.98,0.14,17%,,,,,,,,,,,,,,,,,,,,,,
Archfiend of Ifnir,0.05,4,0,0.20,0.00,0.05,4,0.2,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archfiend of Ifnir,0.04,20,0,0.80,0.00,0.04,8,0.32,0,0%,0.07,10,0.7,0.3,75%,0.06,2,0.12,0.04,50%,,,,,,,,,,,,,,,,,
Archfiend of Ifnir,0.03,8,0,0.24,0.00,0.03,8,0.24,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archfiend of Ifnir,0.02,60,48,1.20,0.96,0.13,4,0.52,0.44,550%,0.12,8,0.96,0.8,500%,,,,,,,,,,,,,,,,,,,,,,
Archfiend of Ifnir,0.01,60,4,0.60,0.04,0.12,28,3.36,3.08,1100%,0.11,4,0.44,0.4,1000%,0.1275,8,1.02,0.94,1175%,0.2125,8,1.7,1.62,2025%,0.102,8,0.816,0.736,920%,,,,,,,
Architect of the Untamed,0.009,4,4,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.55,8,0,4.40,0.00,0.391,8,3.128,-1.272,-29%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.5,8,8,4.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.16,4,0,0.64,0.00,0.221,4,0.884,0.244,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.15,4,0,0.60,0.00,0.221,4,0.884,0.284,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.13,12,0,1.56,0.00,0.2465,6,1.479,0.699,90%,0.38,4,1.52,1,192%,0.37,2,0.74,0.48,185%,,,,,,,,,,,,,,,,,
Arch of Orazca,0.11,4,4,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.1,8,8,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch of Orazca,0.09,20,20,1.80,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.25,8,0,2.00,0.00,0.34,4,1.36,0.36,36%,0.5015,4,2.006,1.006,101%,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.24,4,0,0.96,0.00,0.5015,4,2.006,1.046,109%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.23,8,0,1.84,0.00,0.33,8,2.64,0.8,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.22,8,0,1.76,0.00,0.697,8,5.576,3.816,217%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.2,4,0,0.80,0.00,0.204,4,0.816,0.016,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.19,4,0,0.76,0.00,0.204,4,0.816,0.056,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.15,16,0,2.40,0.00,0.17,8,1.36,0.16,13%,0.2125,8,1.7,0.5,42%,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.13,4,0,0.52,0.00,0.136,4,0.544,0.024,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.11,16,0,1.76,0.00,0.136,4,0.544,0.104,24%,0.33,8,2.64,1.76,200%,0.32,4,1.28,0.84,191%,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.1,4,0,0.40,0.00,0.31,4,1.24,0.84,210%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.09,12,0,1.08,0.00,0.29,8,2.32,1.6,222%,0.3485,4,1.394,1.034,287%,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.08,24,21,1.92,1.68,0.3485,3,1.0455,0.8055,336%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.07,8,8,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguel's Blood Fast,0.06,12,12,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arid Mesa,7.09,4,0,28.36,0.00,7.5795,4,30.318,1.958,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arid Mesa,6.65,4,0,26.60,0.00,7.5795,4,30.318,3.718,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arid Mesa,6.56,8,0,52.48,0.00,7.9143,8,63.3144,10.8344,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arid Mesa,6.51,4,4,26.04,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Barrens,5.2,4,0,20.80,0.00,8.09,4,32.36,11.56,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Barrens,4.09,8,0,32.72,0.00,5.26,2,10.52,2.34,29%,4.7895,6,28.737,4.197,17%,,,,,,,,,,,,,,,,,,,,,,
Ash Barrens,4.01,8,0,32.08,0.00,2.51,4,10.04,-6,-37%,2.67,4,10.68,-5.36,-33%,,,,,,,,,,,,,,,,,,,,,,
Ash Barrens,3.47,4,0,13.88,0.00,4.7895,2,9.579,2.639,38%,3.09,2,6.18,-0.76,-11%,,,,,,,,,,,,,,,,,,,,,,
Ash Barrens,3.16,4,0,12.64,0.00,3.98,2,7.96,1.64,26%,3.6,2,7.2,0.88,14%,,,,,,,,,,,,,,,,,,,,,,
Ashes of the Abhorrent,0.02,12,12,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashes of the Abhorrent,0.01,100,84,1.00,0.84,0.08,4,0.32,0.28,700%,0.07,8,0.56,0.48,600%,0.09,4,0.36,0.32,800%,,,,,,,,,,,,,,,,,
Assembled Alphas,0.01,8,1,0.08,0.01,0.017,7,0.119,0.049,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembled Alphas,0.009,8,8,0.07,0.07,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astral Cornucopia,0.02,8,8,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asylum Visitor,0.06,4,0,0.24,0.00,0.06,4,0.24,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asylum Visitor,0.05,12,0,0.60,0.00,0.05,12,0.6,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asylum Visitor,0.04,4,0,0.16,0.00,0.05,4,0.2,0.04,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asylum Visitor,0.03,20,0,0.60,0.00,0.068,4,0.272,0.152,127%,0.03,4,0.12,0,0%,0.12,8,0.96,0.72,300%,0.1,4,0.4,0.28,233%,,,,,,,,,,,,
Asylum Visitor,0.01,28,0,0.28,0.00,0.068,4,0.272,0.232,580%,0.07,4,0.28,0.24,600%,0.017,8,0.136,0.056,70%,0.0255,8,0.204,0.124,155%,0.03,4,0.12,0.08,200%,,5.376,,,,,
Asylum Visitor,0.01,52,0,0.52,0.00,0.04,8,0.32,0.24,300%,0.0425,8,0.34,0.26,325%,0.1,16,1.6,1.44,900%,0.102,16,1.632,1.472,920%,0.02,4,0.08,0.04,100%,,,,,,,
Asylum Visitor,0.01,52,52,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attune With Aether,0.001,100,32,0.10,0.03,0.034,56,1.904,1.848,3300%,0.0255,8,0.204,0.196,2450%,0.0425,4,0.17,0.166,4150%,,,,,,,,,,,,,,,,,
Auntie's Hovel,0.04,4,0,0.16,0.00,0.33,4,1.32,1.16,725%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auntie's Hovel,0.02,8,8,0.16,0.16,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authority of the Counsuls,0.77,8,0,6.16,0.00,1.044,8,8.352,2.192,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authority of the Counsuls,0.02,4,0,0.08,0.00,0.08,4,0.32,0.24,300%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authority of the Counsuls,0.009,92,0,0.83,0.00,0.08,32,2.56,2.272,789%,0.11,24,2.64,2.424,1122%,0.1,20,2,1.82,1011%,0.2,8,1.6,1.528,2122%,0.245,8,1.96,1.888,2622%,,,,,,,
Authority of the Counsuls,0.009,20,0,0.18,0.00,0.1615,5,0.8075,0.7625,1694%,0.2,4,0.8,0.764,2122%,0.19,4,0.76,0.724,2011%,0.35,4,1.4,1.364,3789%,0.34,3,1.02,0.993,3678%,,,,,,,
Authority of the Counsuls,0.009,50,0,0.45,0.00,0.07,4,0.28,0.244,678%,0.06,28,1.68,1.428,567%,0.08,4,0.32,0.284,789%,0.1,8,0.8,0.728,1011%,0.153,6,0.918,0.864,1600%,,56.8425,,,,,
Authority of the Counsuls,0.009,50,0,0.45,0.00,0.27,4,1.08,1.044,2900%,0.25,32,8,7.712,2678%,0.26,4,1.04,1.004,2789%,0.24,4,0.96,0.924,2567%,0.2655,6,1.593,1.539,2850%,,,,,,,
Authority of the Counsuls,0.009,40,0,0.36,0.00,0.34,4,1.36,1.324,3678%,0.35,4,1.4,1.364,3789%,0.41,20,8.2,8.02,4456%,0.663,8,5.304,5.232,7267%,0.918,4,3.672,3.636,10100%,,,,,,,
Authority of the Counsuls,0.009,4,0,0.04,0.00,1.14,4,4.56,4.524,12567%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avacyn's Judgment,0.03,8,8,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avacyn's Judgment,0.02,4,0,0.08,0.00,0.05,4,0.2,0.12,150%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avacyn's Judgment,0.01,54,18,0.54,0.18,0.14,12,1.68,1.56,1300%,0.21,8,1.68,1.6,2000%,0.18,12,2.16,2.04,1700%,0.1,4,0.4,0.36,900%,,,,,,,,,,,,
Avacyn's Judgment,0.01,104,0,1.04,0.00,0.017,46,0.782,0.322,70%,0.0255,14,0.357,0.217,155%,0.02,20,0.4,0.2,100%,0.03,24,0.72,0.48,200%,,,,,,,9.709,,,,,
Avacyn's Judgment,0.009,46,0,0.41,0.00,0.04,4,0.16,0.124,344%,0.0255,8,0.204,0.132,183%,0.06,12,0.72,0.612,567%,0.07,16,1.12,0.976,678%,0.17,6,1.02,0.966,1789%,,,,,,,
Aven Mindcensor,0.02,4,0,0.08,0.00,0.05,4,0.2,0.12,150%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aven Mindcensor,0.01,100,96,1.00,0.96,0.05,4,0.2,0.16,400%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis of Mortality,0.23,8,8,1.84,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis of Mortality,0.13,8,8,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis of Mortality,0.12,4,0,0.48,0.00,0.46,4,1.84,1.36,283%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis of Mortality,0.11,4,4,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis of Mortality,0.1,8,8,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis of Mortality,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azor's Gateway,1.64,8,0,13.12,0.00,2.7886,7,19.5202,8.0402,70%,3.0464,1,3.0464,1.4064,86%,,,,,,,,,,,,,,,,,,,,,,
Azor's Gateway,1.56,8,2,12.48,3.12,3.0464,6,18.2784,8.9184,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badlands,1.49,2,2,2.98,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baffling End,0.09,8,8,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baffling End,0.04,4,4,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baffling End,0.03,16,16,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baral, Chief of Compliance",0.91,4,4,3.64,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.33,8,0,2.64,0.00,0.336,8,2.688,0.048,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.29,8,0,2.32,0.00,0.2975,8,2.38,0.06,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.22,4,0,0.88,0.00,0.255,4,1.02,0.14,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.19,4,0,0.76,0.00,0.31,4,1.24,0.48,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.18,8,0,1.44,0.00,0.31,4,1.24,0.52,72%,0.51,4,2.04,1.32,183%,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.17,4,0,0.68,0.00,0.51,4,2.04,1.36,200%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.16,4,0,0.64,0.00,0.255,4,1.02,0.38,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.13,4,0,0.52,0.00,0.5,4,2,1.48,285%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.12,8,0,0.96,0.00,1.19,8,9.52,8.56,892%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.11,4,0,0.44,0.00,0.204,4,0.816,0.376,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.1,24,22,2.40,2.20,0.204,2,0.408,0.208,104%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.06,16,16,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baral's Expertise,0.03,8,8,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian Ring,0.07,4,4,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian Ring,0.06,8,8,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian Ring,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrage Tyrant,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren Glory,0.02,8,8,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basilisk Collar,0.2,12,0,2.40,0.00,0.4332,8,3.4656,1.8656,117%,0.418,4,1.672,0.872,109%,,,,,,,,,,,,,,,,,,,,,,
Basilisk Collar,0.18,4,0,0.72,0.00,0.418,2,0.836,0.476,132%,0.36,2,0.72,0.36,100%,,,,,,,,,,,,,,,,,,,,,,
Basilisk Collar,0.16,8,0,1.28,0.00,0.39,4,1.56,0.92,144%,0.49,4,1.96,1.32,206%,,,,,,,,,,,,,,,,,10.4936,,,,,
Basilisk Collar,0.15,8,0,1.20,0.00,0.48,4,1.92,1.32,220%,0.57,4,2.28,1.68,280%,,,,,,,,,,,,,,,,,,,,,,
Basilisk Collar,0.14,8,4,1.12,0.56,0.56,4,2.24,1.68,300%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basilisk Collar,0.13,4,4,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basilisk Collar,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle at the Bridge,0.04,24,0,0.96,0.00,0.15,8,1.2,0.88,275%,0.289,8,2.312,1.992,623%,0.23,4,0.92,0.76,475%,0.22,4,0.88,0.72,450%,,,,,,,,,,,,
Battle at the Bridge,0.03,12,12,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle at the Bridge,0.01,92,0,0.92,0.00,0.06,28,1.68,1.4,500%,0.05,40,2,1.6,400%,0.04,4,0.16,0.12,300%,0.03,4,0.12,0.08,200%,0.08,16,1.28,1.12,700%,,,,,,,
Battle at the Bridge,0.01,72,0,0.72,0.00,0.07,16,1.12,0.96,600%,0.2805,8,2.244,2.164,2705%,0.2215,8,1.772,1.692,2115%,0.2,28,5.6,5.32,1900%,0.19,12,2.28,2.16,1800%,,33.9005,,,,,
Battle at the Bridge,0.01,36,0,0.36,0.00,0.2975,8,2.38,2.3,2875%,0.3655,8,2.924,2.844,3555%,0.38,4,1.52,1.48,3700%,0.4505,13,5.8565,5.7265,4405%,0.204,3,0.612,0.582,1940%,,,,,,,
Bayou,4.07,2,2,8.14,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearer of Silence,0.01,20,4,0.20,0.04,0.034,8,0.272,0.192,240%,0.0425,8,0.34,0.26,325%,,,,,,,,,,,,,,,,,,,,,,
Beck // Call,0.08,3,0,0.24,0.00,0.16,3,0.48,0.24,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck // Call,0.09,4,0,0.36,0.00,0.15,4,0.6,0.24,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck // Call,0.12,4,0,0.48,0.00,0.16,4,0.64,0.16,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck // Call,0.26,8,8,2.08,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck // Call,0.5,4,0,2.00,0.00,0.8,4,3.2,1.2,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlam Reveller,1.43,2,0,2.86,0.00,2.17,2,4.34,1.48,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlam Reveller,0.32,16,0,5.12,0.00,0.44,8,3.52,0.96,38%,0.625,8,5,2.44,95%,,,,,,,,,,,,,,,,,,,,,,
Bedlam Reveller,0.23,4,0,0.92,0.00,0.51,4,2.04,1.12,122%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behold the Beyond,0.1,2,2,0.20,0.20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behold the Beyond,0.05,8,0,0.40,0.00,0.0795,8,0.636,0.236,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behold the Beyond,0.04,8,0,0.32,0.00,0.102,8,0.816,0.496,155%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behold the Beyond,0.03,8,8,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds of Paradise,0.73,4,4,2.92,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lotus,34.64,1,1,34.64,34.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Vice,0.37,4,4,1.48,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade Splicer,1.6,8,0,12.80,0.00,2.295,8,18.36,5.56,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blazing Archon,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessed Alliance,0.01,24,0,0.24,0.00,0.051,8,0.408,0.328,410%,0.017,16,0.272,0.112,70%,,,,,,,,,,,,,,,,,,,,,,
Blessed Alliance,0.005,97,0,0.49,0.00,0.0085,8,0.068,0.028,70%,0.025,68,1.7,1.36,400%,0.045,4,0.18,0.16,800%,0.0425,8,0.34,0.3,750%,0.03,9,0.27,0.225,500%,,,,,,,
Blessed Alliance,0.005,34,0,0.17,0.00,0.035,6,0.21,0.18,600%,0.045,4,0.18,0.16,800%,0.015,8,0.12,0.08,200%,0.0595,8,0.476,0.436,1090%,0.03,8,0.24,0.2,500%,,8.288,,,,,
Blessed Alliance,0.005,37,4,0.19,0.02,0.07,8,0.56,0.52,1300%,0.15,12,1.8,1.74,2900%,0.1955,4,0.782,0.762,3810%,0.1615,8,1.292,1.252,3130%,0.45,1,0.45,0.445,8900%,,,,,,,
Blood Crypt,2.39,3,0,7.17,0.00,2.412,3,7.236,0.066,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Crypt,1.59,4,0,6.36,0.00,2.412,4,9.648,3.288,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Crypt,1.07,1,0,1.07,0.00,2.35,1,2.35,1.28,120%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Crypt,0.98,12,4,11.76,3.92,1.76,4,7.04,3.12,80%,1.97,4,7.88,3.96,101%,,,,,,,,,,,,,,,,,,,,,,
Bloodghast,5.48,4,0,21.92,0.00,6.2775,4,25.11,3.19,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodghast,3.83,4,0,15.32,0.00,5.7288,4,22.9152,7.5952,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodghast,3.52,4,0,14.08,0.00,5.7288,4,22.9152,8.8352,63%,,,,,,,,,,,,,,,,,,,,,,45.2312,,,,,
Bloodghast,3.13,4,0,12.52,0.00,5.37,4,21.48,8.96,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodghast,2.33,4,0,9.32,0.00,4.3316,4,17.3264,8.0064,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,
